hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_287013375,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_287013375,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286724779,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286724779,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286724779,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286452586,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286452586,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_286452586,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_285258057,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_285258057,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_285258057,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_283575170,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_283575170,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_283575170,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_283004952,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_283004952,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_282868163,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_282868163,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_282868163,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_280407901,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_280407901,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_280407901,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_279047268,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_279047268,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_279047268,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_278634487,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_278634487,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_278634487,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277703906,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277703906,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277703906,Service,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277660529,Value,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277660529,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277660529,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277409693,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277409693,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_277409693,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_275818242,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_275818242,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_275818242,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274832900,Rooms,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274832900,Cleanliness,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274225797,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274225797,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274225797,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274093672,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274093672,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274093672,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274008416,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_274008416,Rooms,4 of 5 bubbles
